1109449000155;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ,01;GLEBA 1                   QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;DIESEL S500;3,699;11/09/2018 11:16
1109449000155;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ,01;GLEBA 1                   QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;DIESEL S10;3,799;11/09/2018 11:16
1138114000165;POSTO JK;RODOVIA BR 040 KM 102,S N; ; ;CRISTALINA;GO;GASOLINA C COMUM;4,56;28/11/2018 16:44
1138114000165;POSTO JK;RODOVIA BR 040 KM 102,S N; ; ;CRISTALINA;GO;ETANOL;3,06;21/11/2018 16:38
1138114000165;POSTO JK;RODOVIA BR 040 KM 102,S N; ; ;CRISTALINA;GO;DIESEL S500;3,73;01/11/2018 17:13
1138114000165;POSTO JK;RODOVIA BR 040 KM 102,S N; ; ;CRISTALINA;GO;DIESEL S10;3,78;01/11/2018 17:13
1182484000108;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO,83; ;SAMPAIO;PIRES DO RIO;GO;GASOLINA C COMUM;4,72;10/08/2018 17:08
1182484000108;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO,83; ;SAMPAIO;PIRES DO RIO;GO;ETANOL;2,99;10/08/2018 17:08
1182484000108;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO,83; ;SAMPAIO;PIRES DO RIO;GO;DIESEL S500;3,49;10/08/2018 17:08
1182484000108;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO,83; ;SAMPAIO;PIRES DO RIO;GO;DIESEL S10;3,59;10/08/2018 17:08
1308133000273;POSTO TRES FAZENDAS;RODOVIA BR 116,14219; ;COSTEIRA;SAO JOSE DOS PINHAIS;PR;GASOLINA C COMUM;4,39;25/09/2018 09:18
1308133000273;POSTO TRES FAZENDAS;RODOVIA BR 116,14219; ;COSTEIRA;SAO JOSE DOS PINHAIS;PR;DIESEL S500;3,47;25/09/2018 09:18
1308133000273;POSTO TRES FAZENDAS;RODOVIA BR 116,14219; ;COSTEIRA;SAO JOSE DOS PINHAIS;PR;DIESEL S10;3,57;25/09/2018 09:18
1392476000188;POSTO MODELO;AVENIDA MANOEL INACIO PEIXOTO,624; ;BEIRA RIO;CATAGUASES;MG;GASOLINA C COMUM;4,999;08/11/2018 14:32
1392476000188;POSTO MODELO;AVENIDA MANOEL INACIO PEIXOTO,624; ;BEIRA RIO;CATAGUASES;MG;ETANOL;3,369;24/10/2018 11:30
1392476000188;POSTO MODELO;AVENIDA MANOEL INACIO PEIXOTO,624; ;BEIRA RIO;CATAGUASES;MG;DIESEL S500;3,658;08/11/2018 14:32
1392476000188;POSTO MODELO;AVENIDA MANOEL INACIO PEIXOTO,624; ;BEIRA RIO;CATAGUASES;MG;DIESEL S10;3,93;08/11/2018 14:32
1416988000137;POSTO 10;RODOVIA BR 343 KM 10,S/N; ;RODOVIA;TERESINA;PI;GASOLINA C COMUM;4,449;29/11/2018 17:45
1416988000137;POSTO 10;RODOVIA BR 343 KM 10,S/N; ;RODOVIA;TERESINA;PI;DIESEL S500;3,589;29/11/2018 17:45
1416988000137;POSTO 10;RODOVIA BR 343 KM 10,S/N; ;RODOVIA;TERESINA;PI;DIESEL S10;3,689;29/11/2018 17:45
1443559000159;ROGER SOUZA DA SILVA - EPP;ESTRADA BR 293 KM 108,SN; ;ZONA URBANA;PINHEIRO MACHADO;RS;GASOLINA C COMUM;4,89;14/08/2018 20:10
1443559000159;ROGER SOUZA DA SILVA - EPP;ESTRADA BR 293 KM 108,SN; ;ZONA URBANA;PINHEIRO MACHADO;RS;DIESEL S500;3,23;14/08/2018 20:10
1443559000159;ROGER SOUZA DA SILVA - EPP;ESTRADA BR 293 KM 108,SN; ;ZONA URBANA;PINHEIRO MACHADO;RS;DIESEL S10;3,45;14/08/2018 20:10
1574763000109;AUTO POSTO MUTUM LTDA;RODOVIA BR 262,S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;GASOLINA C COMUM;4,646;11/07/2018 10:01
1574763000109;AUTO POSTO MUTUM LTDA;RODOVIA BR 262,S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;ETANOL;3,456;11/07/2018 10:01
